CNO;CNUM;TYP;FABR;MIET;MASS;FARB;ANO;BEME;LNM;BJ;BDAT;ZDAT;RNUM;RBET;WERT;FAKT;KOST;LIEF;MDA;MDE;ABHO;KONT;Z247;Z251;Z255;Z259;Z263;Z345;Z349;Z353;Z357;Z361;Z365;Z447;Z451;Z455;Z459;Z463;Z545;Z549;Z553;Z557;Z561;Z565;Z647;Z651;Z655;Z659;Z663
27;738/92;Sanitärcont. DU/WC;20 ft. STUGEBA;0,00;6055x2435x2590;RAL 1015;0;;STUGEBA;  .92;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;26.01.2015;  .  .    ;  .  .    ;10.02.2015;/13.02.2015/08:25;WН;WН;WН;WН;WН;Sє;Sє;Sє;Sъ;Sъ;Sі;WН;WН;Wъ;WН;WН;S;Sъ;Sє;Sє;Sє;Sє;WН;WН;WН;WН;WН
57;58;Stahllagercont. 20 ft;TC6 STUGEBA;0,00;6055x2435x2590;rot;0;;STUGEBA;  .91;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;29.11.2012;  .  .    ;  .  .    ;08.11.2013;/11.11.2013/13:54;WН;WН;WН;WН;WН;S;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;S;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
66;200712-9;Stahllagercont. 20 ft;;375,00;6055x2435x2590;rotbraun;0;;;;01.06.1990;  .  .    ;;3170,01;0,00;0,0;0,00;18.09.2014;  .  .    ;  .  .    ;  .  .    ;/17.09.2014/13:46;WН;WН;WН;WН;WН;S;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;S;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
99;770464-8;Wechselbehälter;;0,00;7150x2500x2590;;0;;;  .91;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;09.05.2005;  .  .    ;  .  .    ;  .  .    ;/30.08.2005/16:18;WН;WН;WН;WН;WН;Sі;Sъ;Sъ;Sъ;Sъ;S;Wъ;Wъ;Wъ;Wъ;Wъ;Sі;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
168;1452;Bürocontainer 20 ft.;GR-JO;0,00;6055x2435x2817;1015 hellelfenbein;0;;;12.06;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;08.04.2013;  .  .    ;  .  .    ;05.08.2014;/07.08.2014/16:15;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;S;WН;WÄ;WН;WÄ;WН
175;0000412;Bürocontainer 13 ft.;;180,00;4000x2435x2800;;0;gemietet von ALGECO;;  .;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;05.02.2014;  .  .    ;  .  .    ;28.02.2014;/06.03.2014/11:05;WН;WН;WН;WН;WН;Sі;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sі;Sъ;Sъ;Sъ;Sъ;S;WН;WН;WН;WН;WН
187;553035-0;Lagercontainer 7,15 m;Rolltor;0,00;7150x2500x2590;weiß;0;;CDM;  .;  .  .    ;  .  .    ;;1400,00;0,00;0,0;0,00;23.07.2012;  .  .    ;  .  .    ;28.02.2013;/04.03.2013/15:28;WН;WН;WН;WН;WН;Sі;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sі;Sъ;Sъ;Sъ;Sъ;S;WН;WН;WН;WН;WН
194;106289;Stahllagercont. 20 ft;;55,00;6055x2435x2590;hellbraun;0;;;;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;24.01.2012;  .  .    ;  .  .    ;  .  .    ;/02.09.2014/15:12;WН;WН;WН;WН;WН;S;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;S;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
199;336/92;Stahllagercont. 20 ft;TC6 STUGEBA;0,00;6055x2435x2590;;0;;;  .92;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;  .  .    ;  .  .    ;  .  .    ;15.01.2015;/16.01.2015/08:36;WН;WН;WН;WН;WН;S;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;S;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
226;1187.2/93;Sanitärcont. Herren;STUGEBA;0,00;3000x2435x2590;1015 hellelfenbein;0;;;11.93;  .  .    ;  .  .    ;;0,00;0,00;0,0;0,00;08.10.2009;  .  .    ;  .  .    ;  .  .    ;/12.11.2010/14:47;WН;WН;WН;WН;WН;Sє;Sъ;Sъ;Sъ;Sъ;Sє;Wъ;Wъ;Wъ;Wъ;Wъ;Sє;Sъ;Sъ;Sъ;Sъ;Sє;WН;WН;WН;WН;WН
